NumEvt: 640001, year=1980, I0 from catalogue = 7.5
Barycenter Io:7.96
Barycenter M:5.19
Barycenter H:6.08
H[km]	Mag	Io	PDF
3.7204	4.8475	7.9596	0.000814
3.9730	4.8475	7.9596	0.000389
4.2427	4.8475	7.9596	0.000417
4.5308	4.8475	7.9596	0.000284
2.5085	4.9492	7.9596	0.000053
2.6788	4.9492	7.9596	0.000175
2.8607	4.9492	7.9596	0.000053
3.0549	4.9492	7.9596	0.000047
3.2623	4.9492	7.9596	0.000075
3.4838	4.9492	7.9596	0.000359
3.9730	4.9492	7.9596	0.001615
4.2427	4.9492	7.9596	0.002005
4.5308	4.9492	7.9596	0.001684
4.8384	4.9492	7.9596	0.000689
5.1670	4.9492	7.9596	0.000304
6.7197	4.9492	7.9596	0.000136
2.6788	5.0508	7.9596	0.000085
2.8607	5.0508	7.9596	0.000294
3.0549	5.0508	7.9596	0.000435
3.2623	5.0508	7.9596	0.000356
3.4838	5.0508	7.9596	0.000316
4.2427	5.0508	7.9596	0.000832
4.5308	5.0508	7.9596	0.002849
4.8384	5.0508	7.9596	0.004375
5.1670	5.0508	7.9596	0.002077
5.5178	5.0508	7.9596	0.000959
5.8924	5.0508	7.9596	0.000263
6.7197	5.0508	7.9596	0.000831
7.1760	5.0508	7.9596	0.001133
3.0549	5.1525	7.9596	0.000355
3.2623	5.1525	7.9596	0.000206
3.4838	5.1525	7.9596	0.000527
3.7204	5.1525	7.9596	0.000261
3.9730	5.1525	7.9596	0.000107
4.5308	5.1525	7.9596	0.000257
4.8384	5.1525	7.9596	0.001917
5.1670	5.1525	7.9596	0.003834
5.5178	5.1525	7.9596	0.002984
5.8924	5.1525	7.9596	0.001629
6.2925	5.1525	7.9596	0.000862
6.7197	5.1525	7.9596	0.000290
7.1760	5.1525	7.9596	0.002740
7.6632	5.1525	7.9596	0.003870
8.1835	5.1525	7.9596	0.001627
3.4838	5.2542	7.9596	0.000231
3.7204	5.2542	7.9596	0.000152
3.9730	5.2542	7.9596	0.000420
